Date,Celousd,Linkusd,Dogeusd,Oneinchusd,Xmrusd,Filusd,Ethusd,Aaveusd,Atomusd,Mkrusd,Eosusd,Compusd,Algousd,Xtzusd,Uniusd,Adausd,Zrxusd,Yfiusd,Maticusd,Etcusd,Avaxusd,Ltcusd,Enjusd,Dotusd,Lunausd,Snxusd,Runeusd,Xlmusd,Bchusd,Trxusd,Btcusd,Umausd,Nearusd, Zecusd,Solusd,Sushiusd,Icpusd,Crvusd
2023-10-21T23:00:00.000Z,0.433,8.934,0.0612,0.263,157.5,3.35,1628.6,69.5,6.609,1424,0.558,42.4,0.0939,0.668,4.145,0.258,0.225,5259,0.5724,15.73,9.64,64.7,0.214,3.9,0.0001,2.071,1.75,0.1109,243.9,0.0916,29896,1.37,1.038,25.6,29.316,0.569,3.22,0.4404
2023-10-21T22:00:00.000Z,0.434,8.97,0.0612,0.264,158,3.36,1631.3,69.66,6.631,1427,0.561,42.8,0.0942,0.669,4.156,0.258,0.224,5254,0.5751,15.7,9.68,64.9,0.215,3.91,0.0001,2.074,1.755,0.1107,243.9,0.0916,29917,1.37,1.04,25.6,29.327,0.57,3.22,0.44
2023-10-21T21:00:00.000Z,0.435,8.886,0.0612,0.264,157.9,3.36,1629.1,69.44,6.634,1431,0.561,42.8,0.0937,0.667,4.137,0.26,0.225,5275,0.5721,15.7,9.67,64.9,0.215,3.91,0.0001,2.073,1.804,0.1112,244.2,0.0916,30007,1.38,1.044,25.7,29.741,0.572,3.24,0.4408
2023-10-21T20:00:00.000Z,0.434,8.806,0.0611,0.263,157.1,3.36,1630.4,69.21,6.607,1437,0.561,42.6,0.0936,0.666,4.133,0.26,0.226,5214,0.5709,15.68,9.65,64.8,0.214,3.92,0.0001,2.082,1.8,0.1109,244.7,0.0917,29995,1.38,1.043,25.6,30.09,0.572,3.23,0.441
2023-10-21T19:00:00.000Z,0.434,8.9,0.061,0.264,157.4,3.38,1635.8,69.63,6.632,1435,0.561,42.6,0.0938,0.665,4.134,0.261,0.225,5217,0.5725,15.69,9.67,64.9,0.214,3.94,0.0001,2.083,1.758,0.1111,244.2,0.0915,30026,1.38,1.042,25.7,29.703,0.571,3.22,0.4405
2023-10-21T18:00:00.000Z,0.434,9.016,0.0612,0.266,156.7,3.37,1635.3,69.95,6.651,1432,0.562,42.4,0.0939,0.669,4.145,0.262,0.225,5261,0.5713,15.73,9.72,65.1,0.214,3.94,0.0001,2.09,1.754,0.1111,242.9,0.0917,30160,1.37,1.041,25.7,29.512,0.573,3.24,0.4378
2023-10-21T17:00:00.000Z,0.434,9.101,0.0613,0.266,157.6,3.36,1639.3,70.3,6.674,1441,0.563,42.4,0.094,0.669,4.146,0.261,0.227,5220,0.5732,15.77,9.74,65.1,0.215,3.96,0.0001,2.103,1.755,0.1114,242.9,0.0918,30222,1.37,1.043,25.8,29.55,0.574,3.23,0.4383
2023-10-21T16:00:00.000Z,0.431,8.905,0.0611,0.264,157,3.32,1621.6,69.83,6.61,1437,0.557,42,0.0934,0.664,4.11,0.258,0.226,5310,0.5711,15.64,9.7,64.4,0.214,3.88,0.0001,2.061,1.749,0.1122,244.5,0.0917,30165,1.38,1.045,25.9,29.745,0.577,3.24,0.4407
2023-10-21T15:00:00.000Z,0.431,8.967,0.0613,0.263,157.7,3.33,1629.2,70.06,6.629,1450,0.56,41.7,0.0936,0.666,4.134,0.26,0.224,5329,0.5719,15.74,9.74,65,0.213,3.87,0.0001,2.045,1.759,0.1111,241.9,0.0915,29873,1.37,1.041,25.8,29.102,0.574,3.21,0.4347
2023-10-21T14:00:00.000Z,0.431,8.691,0.0612,0.265,157.5,3.31,1622.7,69.77,6.582,1442,0.561,41.8,0.0932,0.664,4.107,0.259,0.224,5313,0.568,15.66,9.68,65.2,0.213,3.86,0.0001,2.043,1.741,0.111,242,0.0912,29944,1.36,1.04,25.8,29.048,0.577,3.21,0.4351
2023-10-21T13:00:00.000Z,0.43,8.401,0.0609,0.263,157.2,3.27,1613.8,68.74,6.537,1439,0.559,41.6,0.0932,0.663,4.07,0.259,0.225,5247,0.5669,15.61,9.56,64.8,0.212,3.82,0.0001,2.023,1.736,0.1105,242.5,0.091,29895,1.37,1.039,25.9,28.998,0.577,3.19,0.4334
2023-10-21T12:00:00.000Z,0.428,8.102,0.0606,0.262,157,3.25,1605.3,67.42,6.488,1427,0.556,41,0.0929,0.656,4.041,0.257,0.226,5225,0.5559,15.48,9.52,64.4,0.211,3.79,0.0001,2.003,1.72,0.1096,242,0.091,29783,1.37,1.03,25.6,28.939,0.573,3.18,0.4303
2023-10-21T11:00:00.000Z,0.428,8.059,0.0604,0.261,156.1,3.25,1609.1,67.49,6.491,1431,0.555,41.1,0.0928,0.658,4.048,0.257,0.225,5210,0.5557,15.53,9.56,64.3,0.211,3.8,0.0001,2.007,1.719,0.1091,241.4,0.0907,29775,1.37,1.022,25.5,29.132,0.569,3.18,0.4265
2023-10-21T10:00:00.000Z,0.427,7.982,0.0603,0.261,155.3,3.25,1605.3,67.23,6.46,1424,0.555,40.9,0.0924,0.656,4.047,0.254,0.225,5185,0.5526,15.45,9.44,64.1,0.211,3.78,0.0001,1.986,1.708,0.1092,242.3,0.0907,29811,1.36,1.023,25.5,29.512,0.566,3.19,0.4291
2023-10-21T09:00:00.000Z,0.427,7.893,0.0604,0.259,155.5,3.24,1607.6,67.1,6.47,1422,0.558,40.7,0.0926,0.656,4.045,0.255,0.227,5215,0.5499,15.47,9.4,64.1,0.211,3.77,0.0001,1.983,1.7,0.1092,242.3,0.0908,29781,1.37,1.019,25.5,28.217,0.563,3.19,0.4271
2023-10-21T08:00:00.000Z,0.425,7.829,0.0602,0.26,155,3.25,1606.3,66.21,6.463,1424,0.552,40.6,0.0922,0.653,4.024,0.253,0.228,5184,0.5475,15.43,9.39,64.1,0.21,3.75,0.0001,1.984,1.688,0.1089,242.2,0.091,29848,1.36,1.017,25.5,28.256,0.564,3.19,0.4276
2023-10-21T07:00:00.000Z,0.425,7.842,0.0604,0.258,155.4,3.24,1607,66.37,6.472,1433,0.555,40.7,0.0924,0.654,4.037,0.253,0.229,5175,0.5508,15.47,9.45,64.1,0.211,3.76,0.0001,1.985,1.677,0.1084,241.1,0.0909,29676,1.37,1.014,25.4,28.108,0.562,3.18,0.4263
2023-10-21T06:00:00.000Z,0.425,7.786,0.0603,0.256,155.2,3.24,1604.3,66.33,6.437,1429,0.555,40.8,0.0923,0.653,4.018,0.253,0.229,5160,0.5461,15.43,9.4,64,0.211,3.76,0.0001,1.982,1.67,0.1087,242.1,0.091,29710,1.36,1.016,25.5,28.076,0.564,3.19,0.4289
2023-10-21T05:00:00.000Z,0.423,7.623,0.06,0.253,154.8,3.22,1600.3,66.04,6.396,1421,0.549,40.3,0.0914,0.649,3.987,0.251,0.232,5095,0.5394,15.32,9.24,63.6,0.208,3.74,0.0001,1.963,1.648,0.1084,242.5,0.0913,29718,1.37,1.014,25.5,28.032,0.563,3.19,0.4278
2023-10-21T04:00:00.000Z,0.422,7.613,0.0598,0.254,155,3.22,1599.2,66.25,6.388,1423,0.549,40.2,0.0914,0.646,3.972,0.25,0.23,5069,0.5365,15.31,9.22,63.8,0.209,3.72,0.0001,1.965,1.644,0.1081,241.1,0.0911,29594,1.37,1.005,25.4,26.913,0.557,3.16,0.4233
2023-10-21T03:00:00.000Z,0.421,7.595,0.0597,0.253,154.6,3.21,1598.1,65.75,6.393,1432,0.55,40.3,0.0914,0.646,3.978,0.251,0.226,5039,0.5366,15.35,9.23,63.9,0.208,3.72,0.0001,1.973,1.637,0.1081,240.8,0.0909,29566,1.37,1.003,25.4,26.716,0.556,3.14,0.423
2023-10-21T02:00:00.000Z,0.423,7.543,0.0596,0.253,155,3.22,1595.9,65.45,6.378,1439,0.548,40.5,0.0912,0.646,3.976,0.25,0.226,5027,0.5348,15.29,9.21,63.6,0.208,3.71,0.0001,1.959,1.633,0.1085,241.3,0.0908,29616,1.36,1.004,25.3,26.815,0.556,3.14,0.4231
2023-10-21T01:00:00.000Z,0.422,7.579,0.0598,0.252,154.8,3.21,1599.9,65.78,6.395,1436,0.546,40.3,0.0915,0.645,3.976,0.251,0.221,5022,0.5354,15.31,9.22,63.5,0.208,3.71,0.0001,1.96,1.634,0.1082,239.8,0.0907,29497,1.37,1.001,25.3,26.785,0.554,3.13,0.4218
2023-10-21T00:00:00.000Z,0.423,7.565,0.0599,0.252,154.8,3.21,1604.1,65.64,6.405,1432,0.547,40.3,0.0917,0.647,3.989,0.252,0.214,5032,0.5373,15.39,9.25,63.5,0.208,3.72,0.0001,1.969,1.635,0.1085,238.7,0.0908,29541,1.36,1,25.3,26.802,0.556,3.13,0.4204
